type, ID, time, latitude, longitude,value,units,,range
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:26.589692Z,37.533136,-77.435015,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:26.589692Z,37.533382,-77.42163,81,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:26.589692Z,37.534917,-77.426466,99,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:26.589692Z,37.54274,-77.437125,85,beats per minute,,LOW
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:26.589692Z,37.528038,-77.412969,113,beats per minute,,HIGH
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:26.589692Z,37.536485,-77.4142,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:26.589692Z,37.541083,-77.42137,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:26.589692Z,37.543954,-77.43175,108,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:26.589692Z,37.518302,-77.430935,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:26.589692Z,37.51707,-77.439915,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:27.589692Z,37.54422,-77.44857,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:27.589692Z,37.540425,-77.44223,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:27.589692Z,37.537095,-77.43661,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:27.589692Z,37.53201,-77.428365,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:27.589692Z,37.527983,-77.419525,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:27.589692Z,37.523706,-77.414425,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:27.589692Z,37.51874,-77.41057,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:27.589692Z,37.524301,-77.43442,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:27.589692Z,37.526165,-77.444295,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:27.589692Z,37.522604,-77.44149,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:27.589692Z,37.533146,-77.435015,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:27.589692Z,37.533387,-77.42162,91,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:27.589692Z,37.534922,-77.426466,111,beats per minute,,HIGH
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:27.589692Z,37.542735,-77.43712,92,beats per minute,,LOW
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:27.589692Z,37.528043,-77.412974,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:27.589692Z,37.536475,-77.41422,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:27.589692Z,37.541063,-77.421365,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:27.589692Z,37.543964,-77.431755,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:27.589692Z,37.518312,-77.43094,107,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:27.589692Z,37.517085,-77.4399,101,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:28.589692Z,37.54422,-77.448575,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:28.589692Z,37.54044,-77.44223,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:28.589692Z,37.53708,-77.436615,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:28.589692Z,37.532015,-77.42838,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:28.589692Z,37.527968,-77.41953,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:28.589692Z,37.523706,-77.41442,115,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:28.589692Z,37.518745,-77.41055,81,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:28.589692Z,37.524286,-77.43443,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:28.589692Z,37.526165,-77.44428,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:28.589692Z,37.522604,-77.441505,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:28.589692Z,37.533141,-77.435015,120,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:28.589692Z,37.533392,-77.421635,109,beats per minute,,HIGH
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:28.589692Z,37.534922,-77.426466,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:28.589692Z,37.54273,-77.43711,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:28.589692Z,37.528043,-77.412964,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:28.589692Z,37.536485,-77.41422,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:28.589692Z,37.541073,-77.421365,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:28.589692Z,37.543954,-77.43176,90,beats per minute,,LOW
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:28.589692Z,37.518307,-77.430935,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:28.589692Z,37.51709,-77.439905,115,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:29.589692Z,37.54421,-77.448565,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:29.589692Z,37.54043,-77.442235,100,beats per minute,,HIGH
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:29.589692Z,37.537095,-77.436605,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:29.589692Z,37.53202,-77.42836,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:29.589692Z,37.527978,-77.41953,89,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:29.589692Z,37.523716,-77.414425,80,beats per minute,,LOW
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:29.589692Z,37.518745,-77.41057,88,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:29.589692Z,37.524286,-77.434415,105,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:29.589692Z,37.526175,-77.444295,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:29.589692Z,37.522604,-77.44151,99,beats per minute,,LOW
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:29.589692Z,37.533136,-77.435015,108,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:29.589692Z,37.533382,-77.42164,84,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:29.589692Z,37.534917,-77.426481,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:29.589692Z,37.54274,-77.43712,91,beats per minute,,LOW
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:29.589692Z,37.528043,-77.412969,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:29.589692Z,37.53648,-77.41422,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:29.589692Z,37.541083,-77.42138,105,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:29.589692Z,37.543959,-77.43176,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:29.589692Z,37.518317,-77.43095,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:29.589692Z,37.51708,-77.43992,116,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:30.589692Z,37.54421,-77.448555,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:30.589692Z,37.540435,-77.442235,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:30.589692Z,37.5371,-77.436605,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:30.589692Z,37.53201,-77.42836,113,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:30.589692Z,37.527973,-77.41953,88,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:30.589692Z,37.523711,-77.41441,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:30.589692Z,37.518755,-77.41055,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:30.589692Z,37.524291,-77.43442,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:30.589692Z,37.52617,-77.444295,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:30.589692Z,37.522599,-77.441505,106,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:30.589692Z,37.533141,-77.435025,109,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:30.589692Z,37.533382,-77.42162,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:30.589692Z,37.534907,-77.426476,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:30.589692Z,37.54273,-77.437125,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:30.589692Z,37.528048,-77.412964,91,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:30.589692Z,37.53648,-77.414205,114,beats per minute,,HIGH
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:30.589692Z,37.541083,-77.421375,106,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:30.589692Z,37.543974,-77.431765,111,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:30.589692Z,37.518302,-77.43093,84,beats per minute,,LOW
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:30.589692Z,37.51708,-77.43992,84,beats per minute,,LOW
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:31.589692Z,37.54422,-77.44856,101,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:31.589692Z,37.54044,-77.44222,99,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:31.589692Z,37.53709,-77.43662,92,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:31.589692Z,37.53201,-77.428375,101,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:31.589692Z,37.527983,-77.419535,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:31.589692Z,37.523721,-77.414415,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:31.589692Z,37.518745,-77.41056,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:31.589692Z,37.524306,-77.434415,105,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:31.589692Z,37.52617,-77.444285,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:31.589692Z,37.522599,-77.441495,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:31.589692Z,37.533151,-77.43503,87,beats per minute,,LOW
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:31.589692Z,37.533377,-77.421625,80,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:31.589692Z,37.534907,-77.426486,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:31.589692Z,37.542735,-77.437115,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:31.589692Z,37.528043,-77.412969,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:31.589692Z,37.53648,-77.41421,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:31.589692Z,37.541068,-77.42137,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:31.589692Z,37.543974,-77.431745,106,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:31.589692Z,37.518302,-77.43093,111,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:31.589692Z,37.517075,-77.439915,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:32.589692Z,37.544225,-77.44857,100,beats per minute,,HIGH
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:32.589692Z,37.54043,-77.44223,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:32.589692Z,37.53709,-77.4366,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:32.589692Z,37.53203,-77.42837,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:32.589692Z,37.527978,-77.419525,93,beats per minute,,LOW
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:32.589692Z,37.523721,-77.41442,105,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:32.589692Z,37.51874,-77.410555,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:32.589692Z,37.524306,-77.43441,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:32.589692Z,37.526165,-77.44428,108,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:32.589692Z,37.522584,-77.441495,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:32.589692Z,37.533136,-77.43501,100,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:32.589692Z,37.533392,-77.42164,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:32.589692Z,37.534907,-77.426476,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:32.589692Z,37.542735,-77.437115,101,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:32.589692Z,37.528043,-77.412959,91,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:32.589692Z,37.53647,-77.414205,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:32.589692Z,37.541078,-77.42137,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:32.589692Z,37.543959,-77.431765,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:32.589692Z,37.518302,-77.43094,111,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:32.589692Z,37.517075,-77.4399,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:33.589692Z,37.544235,-77.448575,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:33.589692Z,37.54044,-77.44223,81,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:33.589692Z,37.537085,-77.436605,98,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:33.589692Z,37.532015,-77.428375,110,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:33.589692Z,37.527963,-77.41953,117,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:33.589692Z,37.523711,-77.41442,100,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:33.589692Z,37.518755,-77.41057,83,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:33.589692Z,37.524306,-77.434425,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:33.589692Z,37.52616,-77.44428,99,beats per minute,,LOW
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:33.589692Z,37.522604,-77.441495,108,beats per minute,,HIGH
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:33.589692Z,37.533146,-77.43503,93,beats per minute,,LOW
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:33.589692Z,37.533387,-77.421625,86,beats per minute,,LOW
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:33.589692Z,37.534902,-77.426486,91,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:33.589692Z,37.542745,-77.43713,81,beats per minute,,LOW
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:33.589692Z,37.528033,-77.412959,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:33.589692Z,37.53647,-77.414205,120,beats per minute,,HIGH
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:33.589692Z,37.541073,-77.421375,81,beats per minute,,LOW
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:33.589692Z,37.543954,-77.43176,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:33.589692Z,37.518297,-77.43093,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:33.589692Z,37.51709,-77.43992,97,beats per minute,,LOW
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:34.589692Z,37.544255,-77.448585,87,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:34.589692Z,37.54044,-77.442225,90,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:34.589692Z,37.537095,-77.436605,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:34.589692Z,37.53201,-77.428375,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:34.589692Z,37.527968,-77.41952,113,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:34.589692Z,37.523716,-77.414425,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:34.589692Z,37.51875,-77.41055,84,beats per minute,,LOW
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:34.589692Z,37.524286,-77.43441,80,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:34.589692Z,37.526175,-77.444295,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:34.589692Z,37.522599,-77.4415,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_11,2020-05-19 14:06:34.589692Z,37.533146,-77.43503,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_12,2020-05-19 14:06:34.589692Z,37.533392,-77.421635,107,beats per minute,,HIGH
First Responder Heart Rate,first_responder_13,2020-05-19 14:06:34.589692Z,37.534902,-77.426466,80,beats per minute,,LOW
First Responder Heart Rate,first_responder_14,2020-05-19 14:06:34.589692Z,37.542735,-77.43713,102,beats per minute,,HIGH
First Responder Heart Rate,first_responder_15,2020-05-19 14:06:34.589692Z,37.528038,-77.412954,104,beats per minute,,HIGH
First Responder Heart Rate,first_responder_16,2020-05-19 14:06:34.589692Z,37.536485,-77.414205,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_17,2020-05-19 14:06:34.589692Z,37.541063,-77.42138,107,beats per minute,,HIGH
First Responder Heart Rate,first_responder_18,2020-05-19 14:06:34.589692Z,37.543974,-77.43175,96,beats per minute,,LOW
First Responder Heart Rate,first_responder_19,2020-05-19 14:06:34.589692Z,37.518302,-77.43095,118,beats per minute,,HIGH
First Responder Heart Rate,first_responder_20,2020-05-19 14:06:34.589692Z,37.51709,-77.43992,109,beats per minute,,HIGH
First Responder Heart Rate,first_responder_1,2020-05-19 14:06:35.589692Z,37.544275,-77.448575,94,beats per minute,,LOW
First Responder Heart Rate,first_responder_2,2020-05-19 14:06:35.589692Z,37.54042,-77.442235,95,beats per minute,,LOW
First Responder Heart Rate,first_responder_3,2020-05-19 14:06:35.589692Z,37.5371,-77.43662,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_4,2020-05-19 14:06:35.589692Z,37.53201,-77.428365,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_5,2020-05-19 14:06:35.589692Z,37.527978,-77.41953,119,beats per minute,,HIGH
First Responder Heart Rate,first_responder_6,2020-05-19 14:06:35.589692Z,37.523716,-77.414425,85,beats per minute,,LOW
First Responder Heart Rate,first_responder_7,2020-05-19 14:06:35.589692Z,37.518745,-77.41057,103,beats per minute,,HIGH
First Responder Heart Rate,first_responder_8,2020-05-19 14:06:35.589692Z,37.524296,-77.43443,82,beats per minute,,LOW
First Responder Heart Rate,first_responder_9,2020-05-19 14:06:35.589692Z,37.526165,-77.444285,112,beats per minute,,HIGH
First Responder Heart Rate,first_responder_10,2020-05-19 14:06:35.589692Z,37.522584,-77.441505,92,beats per minute,,LOW
